service_date,route,direction,stop_id,events,otp,delay_med
2025-05-12,32,outbound,410000009949,2,0.0,93.20833333333333
2025-05-12,32A,inbound,410000008326,2,0.0,88.18333333333334
2025-05-12,32A,outbound,410000009251,1,0.0,103.03333333333333
2025-05-12,35,outbound,077072001X,1,0.0,44.13333333333333
2025-05-12,36,inbound,075071243A,4,0.0,77.05
2025-05-12,36,inbound,075071288E,2,0.0,47.608333333333334
2025-05-12,36,outbound,079073001P,4,0.0,65.58333333333333
2025-05-12,36,outbound,41000008NC69,3,0.0,16.566666666666666
2025-05-12,37,inbound,3100Z264671,1,0.0,41.5
2025-05-12,37,outbound,079073001P,2,0.0,32.233333333333334
2025-05-12,37,outbound,410000007134,5,0.0,90.1
2025-05-12,38,inbound,077072530A,2,0.0,21.425
2025-05-12,38,inbound,410000009238,1,0.0,32.516666666666666
2025-05-12,38,inbound,410000009356,4,0.0,56.891666666666666
2025-05-12,38,outbound,410000007134,5,0.0,44.416666666666664
2025-05-12,39,inbound,079073001B,1,0.0,14.6
2025-05-12,39,inbound,410000015627,7,0.0,52.333333333333336
2025-05-12,39,outbound,079073190A,2,0.0,15.875
2025-05-12,39,outbound,410000007181,3,0.0,42.916666666666664
2025-05-12,3A,inbound,075071311A,1,0.0,39.81666666666667
2025-05-12,3A,outbound,075071352B,1,0.0,16.15
2025-05-12,4,inbound,410000029206,3,0.0,52.13333333333333
2025-05-12,4,outbound,410000024224,2,0.0,47.93333333333334
2025-05-12,4,outbound,41000042SSIG,2,0.0,41.225
2025-05-12,40,inbound,41000010WALC,7,0.0,56.68333333333333
2025-05-12,40,outbound,410000007141,5,0.0,46.68333333333333
2025-05-12,49,outbound,41000008REGA,1,0.0,21.866666666666667
2025-05-12,516,inbound,410000017115,1,0.0,40.56666666666667
2025-05-12,52,inbound,077072549B,5,0.0,27.35
2025-05-12,57,outbound,077072002R,2,0.0,12.166666666666666
2025-05-12,58,outbound,077072002R,3,0.0,33.15
2025-05-12,59,inbound,075071047B,3,0.0,38.18333333333333
2025-05-12,59,inbound,077072835C,2,0.0,36.20833333333333
2025-05-12,59,outbound,077072001T,1,0.0,18.933333333333334
2025-05-12,59,outbound,079073001S,4,0.0,28.016666666666666
2025-05-12,594,inbound,410000029959,1,0.0,67.85
2025-05-12,6,inbound,075071088B,4,0.0,39.86666666666667
2025-05-12,6,inbound,075071291A,1,0.0,16.133333333333333
2025-05-12,6,inbound,07605721,1,0.0,74.1
2025-05-12,6,outbound,075071227A,2,0.0,30.80833333333333
2025-05-12,6,outbound,077072001D,1,0.0,64.2
2025-05-12,6,outbound,410000009220,1,0.0,36.7
2025-05-12,61,outbound,077072001E,3,0.0,31.883333333333333
2025-05-12,62,inbound,410000007042,7,0.0,80.85
2025-05-12,62,outbound,410000003KLA,8,0.0,73.2
2025-05-12,63,inbound,4.1E+11,28,0.32142857142857145,-2.6083333333333334
2025-05-12,63,inbound,410000007900,3,0.0,81.63333333333334
2025-05-12,63,outbound,4.1E+11,1,1.0,1.25
2025-05-12,63,outbound,410000003932,1,0.0,25.166666666666668
2025-05-12,63,outbound,410000003KLA,33,0.18181818181818182,-6.45
2025-05-12,656,inbound,4.1E+11,1,0.0,-22.083333333333332
2025-05-12,665,inbound,4.1E+11,1,0.0,-30.0
2025-05-12,68,inbound,4100009DSSWB,8,0.875,-0.13333333333333333
