service_date,route,direction,trips_planned,trips_actual,cancel_rate,otp,delay_med,delay_p90,delay_avg,events
2025-05-12,115,inbound,2,1970-01-01 00:00:00.000000002+00:00,0.0,0.0,1.6666666666666679,27.000000000000004,1.6666666666666679,1970-01-01 00:00:00.000000002+00:00
2025-05-12,115,outbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,6.333333333333333,6.333333333333333,6.333333333333333,1970-01-01 00:00:00.000000001+00:00
2025-05-12,12,inbound,12,1970-01-01 00:00:00.000000012+00:00,0.0,0.0,35.46666666666667,51.47666666666667,38.44444444444444,1970-01-01 00:00:00.000000012+00:00
2025-05-12,12,outbound,9,1970-01-01 00:00:00.000000009+00:00,0.0,0.0,38.3,47.89333333333333,36.37592592592593,1970-01-01 00:00:00.000000009+00:00
2025-05-12,13,inbound,4,1970-01-01 00:00:00.000000004+00:00,0.0,0.0,39.516666666666666,54.56666666666667,40.358333333333334,1970-01-01 00:00:00.000000004+00:00
2025-05-12,13,outbound,4,1970-01-01 00:00:00.000000004+00:00,0.0,0.0,54.31666666666666,72.21166666666667,59.34583333333333,1970-01-01 00:00:00.000000004+00:00
2025-05-12,14,inbound,4,1970-01-01 00:00:00.000000004+00:00,0.0,0.0,20.916666666666664,26.471666666666668,21.833333333333332,1970-01-01 00:00:00.000000004+00:00
2025-05-12,140,outbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,1.0,3.5,3.5,3.5,1970-01-01 00:00:00.000000001+00:00
2025-05-12,146,outbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,1.0,1.8833333333333333,1.8833333333333333,1.8833333333333333,1970-01-01 00:00:00.000000001+00:00
2025-05-12,16,inbound,5,1970-01-01 00:00:00.000000005+00:00,0.0,0.0,22.916666666666668,29.583333333333332,22.983333333333334,1970-01-01 00:00:00.000000005+00:00
2025-05-12,16,outbound,3,1970-01-01 00:00:00.000000003+00:00,0.0,0.0,28.833333333333332,38.3,30.138888888888886,1970-01-01 00:00:00.000000003+00:00
2025-05-12,18,inbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,47.266666666666666,47.266666666666666,47.266666666666666,1970-01-01 00:00:00.000000001+00:00
2025-05-12,18,outbound,4,1970-01-01 00:00:00.000000004+00:00,0.0,0.0,35.05,55.105000000000004,38.84166666666667,1970-01-01 00:00:00.000000004+00:00
2025-05-12,2,inbound,2,1970-01-01 00:00:00.000000002+00:00,0.0,0.0,45.4,53.973333333333336,45.4,1970-01-01 00:00:00.000000002+00:00
2025-05-12,2,outbound,2,1970-01-01 00:00:00.000000002+00:00,0.0,0.0,36.891666666666666,39.365,36.891666666666666,1970-01-01 00:00:00.000000002+00:00
2025-05-12,20,inbound,2,1970-01-01 00:00:00.000000002+00:00,0.0,0.0,22.316666666666666,23.62333333333333,22.316666666666666,1970-01-01 00:00:00.000000002+00:00
